,id_filma,zanr,id_rezisera,id_glumca1,id_glumca2,ocena,mesec_izlaska,br_oskara_rezisera,br_dr_nagrada_rezisera,br_oskara_glumca1,br_dr_nagrada_glumca1,br_oskara_glumca2,br_dr_nagrada_glumca2
1953,tt1686039,"Action, Thriller",nm1749449,nm0082211,nm0000418,5.8,November,0,10,0,18,0,27
1954,tt1791614,"Comedy, Drama",nm0200380,nm3182094,nm2313103,6.3,January,0,2,0,9,0,9
1955,tt3011960,"Crime, Drama, Mystery",nm0552565,nm0000199,nm0881631,5.2,November,0,0,1,51,0,8
1956,tt6811018,"Action, Adventure, Family",nm0180428,nm6162831,nm1740112,6.0,January,0,12,0,0,0,2
1957,tt2124787,"Horror, Thriller",nm2574176,nm1113550,nm0004747,4.7,August,0,0,1,25,0,5
1958,tt1524575,"Horror, Thriller",nm0004410,nm2772584,nm0671567,4.8,July,0,0,0,0,0,13
1959,tt0893412,"Comedy, Drama, Romance",nm0333471,nm0004741,nm0891786,5.5,January,0,0,0,0,0,4
1960,tt3181776,"Action, Crime, Thriller",nm0132120,nm1385871,nm0700856,5.5,October,0,3,0,2,0,0
1961,tt1931602,"Drama, Romance",nm0284524,nm0266824,nm0647634,6.0,June,1,3,0,17,0,14
1962,tt4103724,"Drama, Music, Romance",nm0039192,nm1025139,nm1557329,6.7,January,0,4,0,0,0,0
1963,tt1392197,"Comedy, Family",nm0223359,nm0005562,nm0339460,4.3,June,0,0,1,15,0,0
1964,tt3628584,"Comedy, Drama",nm0002700,nm0001084,nm0356021,5.9,April,0,3,0,9,0,8
1965,tt2802136,"Comedy, Crime, Thriller",nm0122567,nm0001337,nm0933940,5.4,February,0,0,0,10,0,3
1966,tt1977895,"Drama, Horror, Mystery",nm1918140,nm1977378,nm3598223,6.4,January,0,8,0,0,0,0
1967,tt2281159,"Drama, Horror, Thriller",nm3146718,nm1680142,nm0930226,5.3,November,0,0,0,13,0,6
1968,tt7738450,"Comedy, Drama",nm3526993,nm3526993,nm9516213,7.1,October,0,32,0,32,0,0
1969,tt5990474,Drama,nm3226379,nm0158626,nm4726634,7.2,August,0,6,0,3,0,3
1970,tt1609479,"Comedy, Drama",nm3819792,nm0005377,nm1312575,6.3,March,0,0,1,48,0,24
1971,tt1999987,"Drama, Romance",nm2035886,nm0428065,nm0001602,6.4,July,0,6,1,12,0,11
1972,tt3387266,"Biography, Drama, History",nm1392994,nm0654648,nm0683253,6.9,November,0,13,0,19,1,30
1973,tt7616798,"Adventure, Drama, Family",nm0001747,nm0000171,nm5999355,6.7,January,0,4,0,5,0,0
1974,tt1901024,"Crime, Drama, Thriller",nm3189793,nm0000120,nm0190744,4.8,May,0,9,0,48,0,2
1975,tt7137846,"Action, Thriller",nm0574625,nm0005517,nm0121605,5.4,May,0,0,0,8,0,0
1976,tt2962876,"Comedy, Drama",nm0920227,nm1588066,nm2353862,7.1,June,0,4,0,0,1,19
